Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00     15.92     0.00    99033     0.00     0.00  ground_backward_contract
  0.00     15.92     0.00    98190     0.00     0.00  DStrFree
  0.00     15.92     0.00    97164     0.00     0.00  scan_token
  0.00     15.92     0.00    97164     0.00     0.00  scan_token_follow_includes
  0.00     15.92     0.00    95722     0.00     0.00  FPTreeAlloc
  0.00     15.92     0.00    95384     0.00     0.00  VarBankGetAltVar
  0.00     15.92     0.00    94635     0.00     0.00  compute_pos_from_pm_termtree
  0.00     15.92     0.00    93687     0.00     0.00  CheckInpTok
  0.00     15.92     0.00    90997     0.00     0.00  UnitClauseSetSubsumesClause
  0.00     15.92     0.00    90997     0.00     0.00  unit_clause_set_subsumes_clause
  0.00     15.92     0.00    89635     0.00     0.00  scan_real_token
  0.00     15.92     0.00    89611     0.00     0.00  NextToken
  0.00     15.92     0.00    88691     0.00     0.00  IntMapAlloc
  0.00     15.92     0.00    79205     0.00     0.00  IntMapFree
  0.00     15.92     0.00    70311     0.00     0.00  NumTreeInsert
  0.00     15.92     0.00    70116     0.00     0.00  EqnHasAppVar
  0.00     15.92     0.00    69937     0.00     0.00  Condense
  0.00     15.92     0.00    67814     0.00     0.00  FVIndexPackClause
  0.00     15.92     0.00    67814     0.00     0.00  FVPackClause
  0.00     15.92     0.00    67814     0.00     0.00  FVUnpackClause
  0.00     15.92     0.00    66608     0.00     0.00  NumTreeFree
  0.00     15.92     0.00    65396     0.00     0.00  ClauseSetFindBest
  0.00     15.92     0.00    63909     0.00     0.00  ClauseTPosAlloc
  0.00     15.92     0.00    63909     0.00     0.00  ClauseTPosFree
  0.00     15.92     0.00    63484     0.00     0.00  eqn_collect_idx_subterms
  0.00     15.92     0.00    62206     0.00     0.00  NumTreeStore
  0.00     15.92     0.00    61733     0.00     0.00  ClausePosNextParamodPair
  0.00     15.92     0.00    60276     0.00     0.00  clause_copy_meta
  0.00     15.92     0.00    57989     0.00     0.00  ClauseTPosTreeInsertPos
  0.00     15.92     0.00    57989     0.00     0.00  OverlapIndexInsertPos
  0.00     15.92     0.00    56540     0.00     0.00  EqnListCopy
  0.00     15.92     0.00    56088     0.00     0.00  ClauseSetSubsumesClause
  0.00     15.92     0.00    55253     0.00     0.00  EqnCopyDisjoint
  0.00     15.92     0.00    54626     0.00     0.00  TermCellStoreDelete
  0.00     15.92     0.00    54626     0.00     0.00  TermTreeDelete
  0.00     15.92     0.00    54626     0.00     0.00  TermTreeExtract
  0.00     15.92     0.00    54492     0.00     0.00  ClauseRemoveEvaluations
